S.No.,Jokes
56,how would u like your steak sir? we've got rare, ultra rare, legendary, fossil, or u can try and catch your own steak in the safari zone
57,Enter promo code INTERMINABLE SINCERITY for some free sarcasm.
58,When I was in 3rd grade my teacher smoking in the classroom told us not to tell well I'm telling you now
59,boyfriend jeans are over. in 2017 its all about wearing your boyfriend's dog's jeans
60,The only camper that is a Happy Camper is the one who drank enough alcohol to forget that he's CAMPING.
61,if you don't like my new 'southern belle' style of talking i got half a mind to give you the vapors
62,Expected delivery while I was out so left courier a note saying "Please leave with neighbour". I've just seen them heading off together.
63,It's cute to think of a nun saving up her nun allowance and then buying a cross or extra bible or something.
64,(i crack an egg; it falls under the pan) i prefer a firm yolk (i accidentally drop my phone in the toilet) phones make us communicate less
65,So far I've kept my resolution to not date any super models.
66,[God creating hairless cats] How about some foreskin with night vision.
67,REPUBLICAN (running for office): We need to make haircuts safer! REPUBLICAN (in office): Haircuts will only be done using chainsaws.
68,Sorry I faked a seizure at your party but my phone's battery dropped to 10%, you wouldn't stop talking and I had to go so I could charge it.
69,I love when football players put their t-shirts over their shoulder pads because they look like business women from the 80s.
70,I'd quit drinking if the lime wedge on my vodka soda wasn't the only thing keeping me from getting scurvy.
71,Talk to your kids about drugs. Learn which drugs are cool rn. You don't wanna be a nerd parent
72,The thing I most look forward to after Christmas is taking down the decorations and, for 4 minutes, it feeling like I live in a mansion.
73,I'll likely spend most of my child bearing years looking for a place to plug in my phone
74,what if an italian guy smoked weed, he might say "emma stone"
75,Matthew McConaughey's acting secret is that he always just came
76,Jan 1st, 2017: I'm finally going to start learning guitar. haha only kidding I'll probably just ride out my current interests until I die.
77,Ive tried everything to get my dog to behave. Ive tried shoving it into a wool tube, stabbing it in the neck and head, etc. nothing works.
78,(I rest my foot on a woman's purse as she's walking down the street) hey how's it going
79,Trying not to take my dog's sighing personally.
80,I hate people who have a great timing with jokes. When I do it I get responses like "Who are you and why are you at my grandma's funeral?"
81,I WISH I WAS DUMBER SO I DIDNT REALIZE THE SUBTLE HORRORS OF THE UNIVERSE
82,Trump won because The Office went off the air in 2013, depriving liberals of their connection to Scranton.
83,If you ever travel to Italy, you have to try their famous food called "Pasta," which I believe is Italian for "Pizza."
84,when i give my policy number to a customer service automated system, i talk precisely & slowly. this is also how i talk to stoned teens
85,i did a lot of experimenting in my teen years. i knew that's what i'd have to do to become the caliber of scientist i am today
86,There are 170 billion galaxies in the observable universe yet this woman claims this hummus is "everything"
87,Shout out to octopi. The spiders of the sea since 1981.
88,I used to assume most people were bright, kind, and at least somewhat informed. Then social media was invented.
89,A nation that looks at a quivering tower of gray Arby's meat product and thinks "this is healthy" cuz there's no bun is capable of anything.
90,If only humans were more like me, smart and wise and- *I get surprised by the toast I forgot I was making*
91,a woman deceived me with makeup. she pretended to be a hot girl but she was actually a lizard who stole my emeralds. all of them
92,"You spent hours slaving away in the kitchen yesterday. Relax. Let me sort out dinner today." *Orders pizza
93,got a job at the no more tears baby shampoo factory spraying shampoo into babies eyes and filming their reactions. best job ive ever had
94,sticks and stones may break my bones but if you say the right words i'd probably break my own bones too
95,s/o to bees for producing food that we can eat. no other bug is generous like that LOVE YOU BEES
96,*sees my stepfather on Xmas* Hey Chip, Feliz Notmydad you piece of shit
97,My career as a karate instructor was tragically curtailed when parents found out I was wholly unqualified & just enjoyed kicking children.
98,If I ever wake up on Christmas Day and there's a Mercedes outside with a giant ribbon on it, I'm gonna assume it has an ignition bomb
99,Santa Claus uses foreign elves to make his toys. It's time to bring those jobs back to America. Huge tariffs coming to the North Pole!
100,Santa came last night. Oh god.... it's everywhere :(
101,I owe so much to X-men, the movie that taught me it was ok to be a terrifying mutant
102,let us remember today the most important immigrant refugee in all of history. that's right i'm talking about waldo from where's waldo
103,The forest animals are about to rip me apart but suddenly they back off. Hillary Clinton emerges from the trees. The animals bow their heads
104,i want a google chrome plugin that's a todolist manager and the way you launch it is, you visit twitter, but it shows your todos instead
105,I commend any woman for going into labor outside a hospital setting. If I have to poop anywhere besides my own bathroom I go into panic mode
106,i love working at the post office at the north pole and ripping up white children's letters to santa claus
107,Just got arrested in an airport in North Carolina for peeing sitting down in the men's room.
108,I give it two months before Trump tries putting his face on our money.
109,Since the pharmacy keeps making it harder to buy decongestants, I've just started making them at home from crystal meth.
110,Girl, are you Chernobyl? Because you warm me to the core and leave me glowing. Also I think you've killed some people.
111,I give my stoner friends fruitcake for Christmas just so I can imagine them hating me a little while they can't help eating it.
112,just told my kid "you're not going to die if you try a piece of lamb" and she said "yeah, i'm going to die anyway"
113,new stereotype I just invented: everyone else but me is bad at navigating their cart at Costco
114,No bees were harmed in the making of my new short film, "Bees on Fire: Screams from Inside a Hive".
115,Folks, I've thought of a way to save 2016: James Corden and a bus full of celebs singing We Are The World, then the bus goes over a cliff
116,My doctor says my emoji use is keeping me young.
117,[my weiner falls off my body, into the toilet] ugh mercury must be in retrograde again
118,I'd like to think that when pedophiles hang out one of them always asks to see the kids menu and they all have a good hearty laugh
119,I'm at the phase of Christmas where I'm looking at stuff in my house and going "I could just wrap that."
120,what's up guys welcome 2 mtv cribs 2016 edition today we gonna show you how white peoples homes are oppressive
121,I made homemade soup with the immersion blender, mostly so that I have something to talk about for the next five days.
122,It's cool we live in a time where we can just type "lol" or "haha" without actually having to laugh or have feelings.
123,me [filing a claim with the insurance company after the basement flooded] We had a pony down there too
124,If you're expecting a baby boy and your last name is Rowave, I've got a great recommendation for a name: Mike
125,I could never be in a hardcore band because I'd feel awkward putting a sticker up in every bathroom stall I enter.
126,"2, 4, 6, 8!! Ride my face let's fornicate!!!" And with that, HR banished me from all future employee picnics.
127,Interesting how alzheimer's makes people forget their own name; yet they always seem to remember that they're racist.
128,Bought a few packs of Sonicare toothbrush heads @ Costco today & the kids can't go to college anymore but at least they'll have clean teeth.
129,i wear glasses n walk around eating apples n everyone is like "wow. he prolly subscribes 2 the economist" but joke's on them i can't read
130,Great gift for Trump supporters: Place a bar of soap in their Christmas stocking and beat them with it after they fall asleep
131,Cats act so cool all year long & then Christmas comes and they eat tinsel.
132,I'm amazed football players don't fumble on literally every play. One time I tripped on a curb and both of my shoes fell off.
133,A pack of coyotes shrieking at 3:12 AM is less unsettling if you instead imagine it's a bachelorette party that just got a limo upgrade.
134,When they shoot scenes w stagecoaches in Westerns, I bet the horses think "Hey wtf? We're not supposed to have to do this shit anymore"
135,Cop - "sir, are you a salamander?" Me - [is 9 inches long. enjoys a mixed diet of earthworms, flies, beetles and vegetation]
136,Too bad the opposite of "mo money, mo problems." isn't "no money, no problems."
137,Allstate just sent me a safe driver bonus check for 73 cents so I guess good things do happen to good people.
138,Mariah Carey seems like the type to sing all she wants for Christmas is you, but when you don't get her anything she throws a huge hissy fit
139,remember when everyone was worried we'd reached "peak TV" with too much to watch then it turned out we're a tragic nation of unending racism
140,If Donald Trump enacts a law saying baby strollers cannot be more than twice the width of the babies in them, I will vote for him in 2020.
141,missed connection: you walked by my house and saw me drinking from the hose. please respond with the hose color so I know it's you
142,If you're at a bar & see a security camera, make the Halpert Face at it. If the cops are ever reviewing the footage, it'll give em a laugh
143,Give a man a fish and he will eat for a day. Teach him how to fish, and he will sit in a boat and drink beer all day.
144,Motion to change the country's motto to: "America - we're not that bright."
145,note to TV shows: I do not want, nor will I ever want, a look inside the episode
146,MUST WATCH heartwarming video! Limbless man rents himself as talking door stop for rich people to afford daughter's seizure medication.
147,Shout out to all the sassy receptionists out there. I won't even go near businesses that don't have sassy as hell receptionists.
148,putting a sweater on your dog?? lol what's next, another harmless thing that only bothers me because i'm lonely
149,ok so, imagine star wars but instead of space it's brooklyn n uh instead of cool space guys, it's lena dunham complaining about stuff
150,Do they sell 2017 calendars by the month? Not sure I want to commit to a full year.
151,When u give ur phone number at CVS turn to the person behind u in line & say "now don't be calling me for a date"
152,America leads the world in religious people who use 'bless your heart' as an insult.
153,true romantic: I wonder what they're like in bed (bath and beyond)
154,I bet the inventor of puppets has one hell of a creepy backstory.
155,It would be funny if, with everyone freaking out about global warming we ended up dying in a good old 60s throwback nuclear war with Russia.
156,(fully aware that i am always more tired after a nap than i was before) this time will be different
157,"People should never again say that if they had a time machine, they'd go back & stop Hitler. Because we now know nobody would." - my kid
158,I find the biggest difference in Canada vs the US is they don't put your lids on for you at Starbucks and exponentially less gun violence.
159,A guy in the store on his cell said "Susan, I'm in my car on my way" so I yelled "NO HE'S NOT!" Because nobody lies to Susan in front of me.
160,America is there land of opportunity, where if you work hard enough, you can make the business owners rich.
161,Time is money, so if you never accept a job, you have 24 hours of money per day, which is the maximum amount, so youre the richest man alive
162,"Eat the booty like groceries" -Albert Einstein
163,Instead of saying a package is Family Size, it'd be more helpful if it listed a time frame, like 3 Hours Worth of Cookies.
164,*walks into Walmart wearing pants* Walmart employee: Shit, corporate's here
165,No. Skinny girls shouldn't be in charge of the office thermostat. You need a middle-aged woman with hot flashes named Brenda on the dial.
166,No matter how tough you think you are, there's always a closed pistachio ready to mess you up.
167,CHECK OUT BUZZFEED'S TOP 10 LIST OF GODS FOR ATHEISTS. YOU WON'T BELIEVE NUMBER 1, 2, 3, 4, 5, 6, 7, 8, 9, OR 10.
168,Stupid millennials. Always on their phones. Always doing chatsnaps. Always being born into a world where ownership determines everything.
169,Ppl at Starbucks are weird. They love it when I bring our chihuahua in a little baby stroller, but get all freaked out when I let him nurse.
170,my new year resolution is 1080p thanks please make this go viral so my ex gf stephanie sees it steph if ur reading this please take me back
171,maybe if we start calling abortions "debortations" republicans will support them?
172,Whoever thought of appetizers was literally like "we should pregame this food w more food" and I think that's really beautiful
173,The next time there's an awkward silence, try whispering, "Did you forget your line?"
174,A recent study of blue-collar workers showed that what they love best about their jobs is their days off.
175,if i was a klingon the first thing i would do is grow out my bangs
176,Men treat women like objects. Weird men treat objects like women.
177,Watching WWII documentaries, it's always so heart wrenching when Poland is invaded and London is bombed by the Alt-Right.
178,Meatballs have bread crumbs inside them. Meat plus bread means that a meatball is actually a sandwich.
179,In 2017, every TV show's marketing plan will be to add a Trump parody character so he's compelled to watch & cry on twitter about it.
180,"ranch goes with everything" i whisper while placing a bottle of ranch in grandma's coffin
181,it's 2:36 am i'm hiding in my bathroom smokin bongs by myself ladies and gentlemen i didn't ask to be a winner , god just chose me to be one
182,Alarm company: We need your emergency contact info. Me: (eating chips) My dog doesn't have a cell phone.
183,if u see someone chewing gum in the morning, it's 100% bc they didn't brush their teeth. they're nasty as hell n not worthy of ur respect
184,Nothing soothes the soul like seeing a huge muscular guy walking with a tiny ice cream cone
185,Advent calendars are fun if you ignore that every day is a new, fresh hell waiting to be survived.
186,Everybody thinks Australians are laid back until one of us is standing over you with a chainsaw asking you to pronounce Aluminium correctly.
187,Premiering 2017. They never saw him coming. Sean Penn is The Retard Pope
188,Let's call Trump the "Second Place President." He'll love that.
189,Did you know the average performer can subsist off of one compliment for multiple nanoseconds?
190,after a long day of respecting women I like 2 sit down and ponder how I'm goin 2 respect them the next day
191,just missed a turn because I was trying to tweet "dong cheadle" while driving
192,I wonder what appeared over Thomas Edison's head when he got the idea for the light bulb...
193,You think you know someone, then you find out they like porn with a plot.
194,Husband got excited thinking I was touching myself under the covers but I was actually just opening a Kit Kat I didn't wanna share.
195,Some of my lowest points are when I try to "like" an email
196,Facts and science no longer matter. Remember the Renaissance? This era is the opposite of that.
197,Imagine how quickly Breitbart would believe in climate science if they could use it to stop black people from voting.
198,If you replace the "W" in "where" "what" and "when" with "T" you get answers to the questions.
199,My Animal Science dissertation "Are Hippos Just Girl Rhinoceroses?" met with a healthy dose of scientific skepticism WHICH I WELCOME.
200,[God inventing iguanas] Maybe humans are done dealing with dinosaurs, but ants aren't
201,America has to stop all this violence overseas so we can focus on doing nothing to stop violence back here in America.
202,I hope aliens don't land in the next few years, because this is a really embarrassing time for humanity.
203,*walkig around department store that is full of wat clearly are christmas decorations* its haloween again ALREADY??
204,nuance is cancelled. ur either good or bad. if ur good but then u say something bad, then ur bad now n therefore cancelled
205,i went to middle school with a kid named jonathan math. poor dude was HORRIBLE at math. the expectations of his last name weighed too heavy
206,sometimes i literally would stop replying to someone for a whole hour because i be googling a very specific reaction gif for the convo
207,my 2 yr old today: Mom how'd you get past the cognitivie dissonance of having me even tho climate change will render the world uninhabitable
208,when it snows are snowmen ever like holy shit it's my flesh
209,If you want someone to like you never text first. If they text you then don't text back. Never, ever talk. It's the only way to make it work
210,Whenever Adobe Flash tells me to update I download and install an even older version, that's MY revolution
211,Please donate to my gofundme to replace the laptop i threw across the room in anger after my last gofundme failed
212,Donald Trump is one of those people you would never let be the banker in a Monopoly game
213,[wakes up from a 72-year-long coma] oh nazis are still a thing huh
214,thank you all for donating to my gofundme to pay for my surgery; I have decided to buy 600 playstations with the money
215,Hate it when i accidentally drink a small amount of a carbonated beverage and my body is unable to release the gas and i pop like a seagull.
216,If you are considering decorating your car for Christmas, please seek immediate mental help.
217,this 'donkey kong' aspires to humanity through the gesture of the necktie. yet it is the hoarding of his wealth that truly makes him human
218,Lock myself in the bathroom for an hour and a half to get ready. Come out looking exactly the same, but my phone's at 9% and I have to pee.
219,"No, Dad, Vampire Weekend is not like Shark Week..."
220,The impossibility of accepting the offer of a quick drink without first pretending to check your watch
221,[camera cuts to me in crowd at NFL game holding a giant sign that says "I CAN'T BELIEVE THE HOT DOGS ARE 8 DOLLARS"]
222,trump is shitting furiously into a golden toilet right this moment
223,Imagine the PR nightmare if one of these pardoned turkeys goes on a killing spree.
224,basically the first settlers were those people who go to a party & won't leave even though the indians were checking their watches & yawning
225,My wife and I are screaming at each other from different toilets while our sons shoot each other with bb guns
226,In the midst of all this negativity and hate please take comfort in remembering that I have a 5 star uber passenger rating
227,(i walk up to the counter at subway) hey hows it goin? (i rest my foot on the sneeze guard thing and it slams shut on the guys hands) my bad
228,if you can get a price tag onto a priceless jewel they have to sell it to you for that price, it's a simply trick that saves on heist work
229,Twitter: where strangers will explain your joke back to you.
230,How dare you accept my apology, I wasn't really apologizing, that was a trick to get you to say that nothing was my fault
231,Whoever named the diaper did a lot better than whoever named sweatshirts.
232,what's your favorite part of Sundays, mine is staying up really late for no reason whatsoever so that I'm extra miserable all week
233,Remember to make short sighted assumptions and rash decisions with almost no information today.
234,(30 year old white guy voice) what we need is change in the political system which is why im voting for my neighbors dog that bites children
235,Just bought a Subaru & it came with wet rescue dog nose marks on the windows, some pot & Whole Foods environmentally friendly shopping bags.
236,Just found out Cuba Gooding Jr is not from Cuba, but from New York. Leave it to a big name celebrity to be a huge liar
237,Arguing politics is like trying to convince someone that their baby isn't cute.
238,Son, your chimpanzee girlfriend is tearing this family apart.
239,i get disappointed every time a catholic school's mascot isn't the fightin' jesuses (jesi?)
240,We all bring something different to the table. I have all of my teeth and can read.
241,Last night someone bashed my car window & stole my purse so I hope this thief enjoys his 17 tampons, stale gum & Sephora rewards card.
242,accidentally just walked halfway into a hug intended for someone else on the sidewalk maybe can't leave house ever again
243,When I order a burrito with a coffee in my hand, I imagine the cashier is thinking "Wow, this guy must really love to shit!"
244,Bad news: none of the fireworks at the Trump rally misfired and killed me!
245,Oh man what's it called when you keep doing the same thing over & over but keep getting the same result? Oh yeah, I'm a serial killer.
246,I am being so rude. Apologies. Google, is there anything you want to ask me?
247,Just settled a divorce over Parrot custody/visitation. Neither may teach it negative phrases abt the other. I went to law school for this.
248,"Why Isn't The Media Covering This?" the media asks other media, peering into its media mirror, media-ing before a day of media in media.
249,I don't have a lot of regrets but one time I met a girl named Stephanie & prematurely called her "Steph."
250,Thank you, Mario, for rescuing our daughter... So, what now? Like, do we just pay you standard plumber rates? We didn't ask you to do this.
251,Clothes are such a fraught gift because it's like: "Here's the size and shape I think you are and so how I think you should style yourself!"
252,You know that pestering someone because the don't watch the same TV shows as you isn't a personality, right?
253,So today I was lookin at a girl bcuz she had a piece of lettuce in her hair & she looks at me and said "I have a boyfriend" ok lettuce head
254,I'm hoping someone puts razor blades in my daughter's Halloween candy this year because those things are ridiculously expensive.
255,if you turn the patterns on their shirts 90 degrees... the trusted REFEREE becomes the despicable PRISONER.... truly life is a fragile Bitch
256,When the aliens land I refuse to be the one who explains why mannequins have no heads/arms/legs but do have noticeably erect nipples.
257,Just so you know, you will be asked to leave the funeral if you do a drum solo on the coffin...no matter how epic it is
258,you should be able to order mcnuggets in any quantity. just have a flat price for a single nug, like a quarter. i feel strongly about this.
259,Day six of my push-up challenge. So far, I've eaten 107 push-up pops.
260,*everybody gasps as I drop the baby* Oh no was it expensive?
261,[first day on the job as a drug dealer] *giggles* "We don't have coke, is Pepsi ok?" *gets stabbed*
262,ONLY 70S KIDS WILL REMEMBER THIS: Their parents doing cocaine while watching Jaws at full volume when you have a math quiz in the morning
263,Trump's what you'd get if you poured a pot of glue, some glitter & a dog turd into your Build Your Own Hitler Kit and gave it a good shake.
264,A pelican just flew away with my sandwich. Rigged! The media!
265,got 1 of those water bottles w/ the plastic prison inside 4 putting fruit in. i'm gonna put donut in it. donut water.for health n prosperity
266,"I'd UberBlack for you." - what I assume a pick up line in 2016 sounds like
267,it must be killing england not to be able to make fun of our dumbasses because their dumbasses did brexit
268,I like the religions where they're like "god left after he made earth." that's exactly what I would do if i created this mess.
269,Sorry I reported your newborn's pic on FB but nudity is nudity
270,Bowtie pasta is the most handsome of all the pastas.
271,"Head, Shoulders, Knees and Toes" is actually a song about everything that will hurt when you hit about 30 years old.
272,I love how Prince Charming is so dumb he doesn't recognize Cinderella without her shoe.
273,So we're on for next Friday? Perfect. I'll call you Thursday to reschedule.
274,Do you think clouds look down on us and think, that ones shaped like an idiot.
275,Do I just call you or should we resolve this quickly with 200 text messages?
276,When you ask if I want fries or salad, I'll pretend it's a tough choice and we'll enjoy a genial laugh before you bring me more ketchup.
277,Using a hot dog bun as a wallet
278,I'm just a girl, standing in front of half a pizza thinking it's been long enough since I ate the 1st half to consider this a different meal
279,My favorite selfies are the ones people post of themselves looking off in the distance, like they didn't realize they were taking a selfie
280,The sheer terror of laughing at a joke you didn't understand and then someone asking you to explain it to them.
281,I learn something new every day that I didn't want to know.
282,"Do not iron" Like that was ever going to happen...
283,"I've looked everywhere" to men is really "I skimmed the floor then opened and shut 3 cabinets"
284,They say video games make u violent, but hundreds of years ago we burned people alive for being witches so probably humans are just garbage
285,*poops blood* "What the heck I haven't eaten blood in weeks"
286,being single in apartments is the best cos you can listen to couples fight all the time. so comforting. like being inside during a storm
287,When I like a girl, I play it cool. I wait. I text once, wait 60 years, and then I die.
288,According to WebMD, this hairy thing on my chest is a cat
289,[interrogation] Bad Cop: *face way too close to Shakira's waistline* tell me what I want to know
290,i absolutely cannot cook for shit but i was watching a child prodigy chef n was casually like "ugh, i don't kno about that sauce"
291,Just realized the laundry detergent has been in the refrigerator for 3 days, in case you're looking for a business manager.
292,Some days I think my mental health is coming along nicely, other days I'm vaguely jealous of turtles.
293,Shout out to my self-aware friends, you know who you are
294,"...and then she farted and I swear her butt plug shot across the room like a rocket! That's the last time we have Taco Bell."
295,A wife is like a box of chocolates, you never know which of her multiple moods you're going to get, you just better act like you love it.
296,what should i do for my 30th birthday??? I'm only 23 but it pays to b prepared
297,I'm so high, I just tried to Google "My favorite songs".
298,Breaking: Brad and Angelina have broken up. Thousands of kids homeless.
299,Cut out the middleman and just list 911 as your emergency contact.
300,It doesn't matter if it's fight club or book club or some other kind of club, I guarantee I don't want to talk about it.
301,I never ask anyone, "what kind of dog is that?" because they'll tell you. God will they tell you.
302,I rarely eat kale chips, but when I do-I eat them condescendingly and self-righteously.
303,*Eats a snack while making a snack*
304,Whenever I'm feeling I'm getting soft I log in to Facebook to rekindle my hate for humanity.
305,I haven't used the computer in my basement since 1994 because the topless jpg. of Pamela Anderson is still downloading.
306,Gets pulled over: " it's because I can't see isn't it?!"
307,I drink a glass of red wine a day for health benefits. The other 7 glasses are just for me.
308,Standing in disbelief at an automated door that isn't opening for me is the closest I'll ever feel to having been born rich.
309,gonna start my first youtube channel and post my first youtube video and the first thing i will say is "hi sorry i haven't posted in awhile"
310,I hate when people say 'I died laughing', and don't die.
311,[first date] I had a great time. Not tonight, but I've had a great time before.
312,[doing an identification at the coroner's office] It's not her; my wife has a head.
313,Taking BuzzFeed's millennialness quiz. Apparently having mental health issues and not knowing your gender is 100% millennial.
314,[2048] President Khaleesi Smith decrees that the words of the Star Spangled Banner will be changed to "Land of the fleek & home of the bae"
315,In an alternate universe there is only one movie about falling in love, but thousands about swapping faces with John Travolta.
316,The Pumpkin Spice Gang ~An over caffeinated pack of basic white girls that can do things with a selfie stick that you didn't think possible.
317,When I was a kid, ppl would cover me in sauce, throw nuts, cherries & sprinkle hundreds & thousands over me.. Life was tough in the gateau.
318,[first date] "I learned to crochet in prison... Now you say something."
319,Tonight playing poker with a buddy he said "Care to make this interesting?" And I said "Sure. For years I've been secretly in love with you"
320,My middle finger is always ready to give you a standing ovation after you say something stupid.
321,I learned two important lessons today. I can't remember the first lesson, but the second one is I have to start writing things down.
322,Don't talk to me until I've had my coffee! Haha jk, we can talk. How many of the commemorative state quarters have you collected? I have 40.
323,Fun prank. Tell your bf you're getting your hair done. Leave. Don't get your hair done. When you come back & he says it looks great stab him
324,*first day as almond milk factory worker* where the tiddies at
325,Sorry people with seeing eye dogs that say 'No petting'. What you can't see won't hurt you.
326,I love to online. Have you ever tried online? Online is better than offline I think. There's no memes offline and there are wolves offline.
327,If I fave ur tweet on a Friday night pls know I'm doing it from the party club, where I am partyclubbing with my [opens dictionary] friends
328,I just answered two Jeopardy questions in a row. This must be what Einstein must have felt like.
329,I talk a lot. Your happiness will depend on your ability to figure out what matters and what doesn't. Good luck. - Women
330,Turns out my date had a lot of pizzazz, not pizzas. I've never been more disappointed.
331,Goddammit, my parole officer says none of my RTs count towards community service. This has been a huge waste of time.
332,Ah, the great Rental Car Kabuki Dance: I turn down the coverage and prepaid gas, the clerk admonishes me for the folly of my ways.
333,Accidentally used my GF's razor and now I feel fat and I'm pretty pissed about something you guys did 3 years ago
334,I had a dream that I was fighting Jason Bourne, Will Hunting and Tom Ripley. After months of therapy I'm finally battling my Damons.
335,I'm gonna steal a bunch of Jesus fish off minivans and then put them back three days later.
336,I just found out that people can still read words when they're in parentheses and holy shit do I have a bunch of apologies to write.
337,*rearranges Nana's body so she's dabbing* She would've wanted it this way.
338,"The secret is that it's all in the wrist!" -My grandfather talking about golf or handjobs or something
339,[a Swarm of Bees requests to be your friend] um ok [a Swarm of Bees has invited you to event "Come Outside"] what tha
340,why do people swerve I love running over stuff
341,You spoiled brats with your fancy Cheerios flavors. When I was a kid Cheerios had one flavor, and that flavor was paper.
342,<-- Spends a good 10 minutes removing the stuffed animals from my bed before we get down to business. But Rupert stays, he likes to watch.
343,Does shaking the vending machine count as working out?
344,I'm intelligent but not "make good life choices" intelligent.
345,Beggin'Strips: Stop pretending dogs don't know it's not bacon. They smell cocaine in a cooch across an airport; I'm sure they know NOT bacon
346,You're like pizza at a Chinese buffet. I ain't feeling you but I see you over there, doing you, and I respect that.
347,I've never dumped a girl. I always lay them peacefully in a field to be discovered by school children
348,I own box sets of both the Star Wars and Star Trek franchises in case you were wondering if virginity can grow back.
349,the plot of hitman is that greg hitman is just trying to go about his day but wacky things always seem to happen when he's around!
